,DAY,NIGHT,TOTAL
Jan-09,462409,161330,623739
Feb-09,423806,154648,578454
Mar-09,527871,148753,676625
Apr-09,420733,145951,566684
May-09,487201,169446,656647
Jun-09,524718,171831,696549
Jul-09,520695,180857,701552
Aug-09,513759,181094,694853
Sep-09,458625,152488,611113
Oct-09,445289,157285,602574
Nov-09,421325,149456,570781
Dec-09,458009,157037,615046
Jan-10,479283,171761,651044
Feb-10,438388,160123,598511
Mar-10,489448,167533,656981
Apr-10,425977,149485,575462
May-10,428855,150739,579594
Jun-10,477163,151029,628192
Jul-10,487951,169868,657819
Aug-10,393207,132363,525570
Sep-10,400776,134343,535119
Oct-10,467137,167314,634451
Nov-10,406862,143412,550274
Dec-10,394861,134901,529762
Jan-11,379517,132888,512405
Feb-11,370971,129350,500321
Mar-11,459130,155371,614501
Apr-11,448965,158278,607243
May-11,510102,165042,675144
Jun-11,514606,173670,688276
Jul-11,488131,163097,651228
Aug-11,500751,165745,666496
Sep-11,503695,166042,669737
Oct-11,449963,128998,578961
Nov-11,445619,141107,586726
Dec-11,494491,167732,662223
Jan-12,445423,150684,596107
Feb-12,431507,145840,577347
Mar-12,416865,138595,555460
Apr-12,404709,143863,548572
May-12,395404,137659,533063
Jun-12,387314,139387,526701
Jul-12,393539,137307,530846
Aug-12,413224,144827,558051
Sep-12,376136,129152,505288
Oct-12,395377,142693,538070
Nov-12,375426,133149,508575
Dec-12,394187,132468,526655
Jan-13,392984,130540,523524
Feb-13,354127,122459,476586
Mar-13,408209,142588,550797
Apr-13,411999,145301,557300
May-13,426956,145335,572291
Jun-13,433476,150899,584375
Jul-13,541913,181989,723902
Aug-13,546443,188624,735067
Sep-13,435401,160335,595736
Oct-13,417599,149246,566845
Nov-13,398901,143520,542421
Dec-13,412995,147906,560901
Jan-14,405558,143656,549214
Feb-14,402502,143021,545523
Mar-14,413360,136193,549553
Apr-14,424047,147916,571963
May-14,452482,156343,608825
Jun-14,462967,153736,616703
Jul-14,506777,168544,675321
Aug-14,466520,160586,627106
Sep-14,445220,151521,596741
Oct-14,459726,164071,623797
Nov-14,427208,153957,581165
Dec-14,393832,143807,537639
Jan-15,411687,152498,564185
Feb-15,341195,130503,471698
Mar-15,375699,155257,530956
Apr-15,336694,146699,483393
May-15,336561,144154,480715
Jun-15,286187,119352,405539
Jul-15,317424,126434,443858
Aug-15,315381,120808,436189
Sep-15,273207,109047,382254
Oct-15,309586,118088,427674
Nov-15,284306,101470,385776
Dec-15,354206,128810,483016
Jan-16,312157,121280,433437
Feb-16,246787,100239,347026
Mar-16,233788,97997,331785
Apr-16,262234,101930,364164
May-16,308359,124792,433151
Jun-16,307392,122457,429849
Jul-16,333533,131141,464674
Aug-16,315156,122015,437171
Sep-16,320712,123914,444626
